"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,4272.76723855991,8,764571.150018649,0,4272.76723855991,764571.150018649
50,3017.36887706134,1101.90546508103,285605.609069257,69676.113111196,4111.27434214237,355281.722180453
100,1486.36000503024,2654.93411997663,189834.34276731,161682.787144756,4133.29412500687,351517.129912066
150,697.879839522188,3475.50360951626,20257.7840959527,13662724.950395,4165.38344903845,13682982.734491
200,264.548399016208,4019.85789175363,9377.81960853809,515894.729143699,4276.40629076984,525272.548752237
