"areaId","N1","w_total","Peri","Malabo","Baney","Luba","Riaba","Moka","Ureka","N2.ti_mal","N2.ti_ban","N2.ti_lub","N2.ti_ria","N2.ti_mok","N2.ti_ure","N2.to","t.ti_mal","t.ti_ban","t.ti_lub","t.ti_ria","t.ti_mok","t.ti_ure","t.to","t_mal","dest"
153,69,5,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,"to"
153,69,5,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,"to"
153,69,5,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,"to"
153,69,5,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,"to"
153,69,5,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,11.5072316869195,26.2535799813514,76.2042872602631,80.035868865,97.20082105,127.6367924,151.50723168692,11.5072316869195,"to"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"to"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"to"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"to"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"ti_lub"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"ti_lub"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"ti_lub"
207,59,8,0,0,0,0,1,0,0,189560,27025,6434,2187,680,64,1071785,15.0111281713333,30.4266898172973,79.1900856594737,83.7244521134615,100.186619448,130.6225908,155.011128171333,15.0111281713333,"ti_lub"
