"w","N1","N2","d","t"
0,63,189560,9540.64785993712,8.81133148097701
0,63,6434,31686.3305736273,67.8264868823684
0,63,2187,33909.790219649,74.6113134746154
0,63,680,40990.0793880835,88.82302067
0,63,64,53063.6540064316,119.258992
13,225,1071785,245339.96076212,148.600650167805
0,225,27025,14663.5615837304,24.9846158987838
1,225,189560,8583.40327518912,8.6006501678046
1,225,6434,32135.0057232567,68.9373509839474
1,225,2187,33703.3311780813,75.2673952026923
0,225,680,41089.4479499672,89.933884782
0,225,64,53298.1588004384,120.3698561
9,187,1071785,244445.972555735,148.558246020667
0,187,27025,13665.969483709,24.3930970604054
3,187,189560,7636.76580882569,8.55824602066667
0,187,6434,32608.1087575695,70.048215086579
0,187,2187,33525.3700852349,75.8282100476923
0,187,680,41212.7922042143,91.044748884
0,187,64,53550.272403707,121.4807202
10,295,1071785,243580.461248232,148.43054051046
0,295,27025,12668.5956200305,23.8737727166486
0,295,189560,6705.29777605496,8.43054051045977
0,295,6434,33104.515879141,71.1590791894737
0,295,2187,33376.3105228523,76.3631158280769
0,295,680,41359.8310196371,92.155612986
0,295,64,53819.6764064574,122.5915843
1,75,1071785,242755.187788612,148.588822080207
0,75,27025,11671.3238262491,23.3164700784865
0,75,189560,5796.07757445135,8.5888220802069
0,75,6434,33623.4210512434,72.2699432913158
0,75,2187,33256.6984192059,76.6946497296154
0,75,680,41530.5118989443,93.266477106
0,75,64,54106.3244606251,123.7024484
8,486,1071785,241988.936454687,148.506898221885
0,486,27025,10674.3704768783,22.205605976
0,486,189560,4921.7323712375,8.50689822188506
0,486,6434,34163.5763759481,73.3808073936842
1,486,2187,33166.6944003564,76.3861615830769
0,486,680,41724.3462511044,94.377341208
0,486,64,54409.7331017881,124.8133126
22,2573,1071785,241310.451174835,148.372673176299
7,2573,27025,9677.76455681514,21.0947418732162
0,2573,189560,4104.49649748576,8.37267317629885
1,2573,6434,34724.0633276965,74.4916714965789
1,2573,2187,33106.5927698161,75.695825445
3,2573,680,41941.0789744025,95.48820531
0,2573,64,54729.6936003946,125.9241767
11,1065,1071785,240762.805725216,148.393811845609
3,1065,27025,8681.62548844346,19.9838777711351
2,1065,189560,3385.97666250853,8.39381184560919
3,1065,6434,35303.913340444,75.6025355986842
0,1065,2187,33076.556266395,74.8878137261539
0,1065,680,42180.3568549308,96.599069412
0,1065,64,55065.9172075421,127.0350408
55,2095,1071785,240402.859774502,148.154255562989
1,2095,27025,7686.13441516037,19.4284509437838
0,2095,189560,2842.05637995684,8.15425556298851
3,2095,6434,35902.1882403063,75.3514553376316
2,2095,2187,33076.6667333697,74.3593940553846
1,2095,680,42441.7985576126,96.347989136
0,2095,64,55418.1079155546,126.7839605
30,1051,1071785,240285.925215273,149.255958284069
0,1051,27025,6691.58036546678,19.9115769118919
0,1051,189560,2585.38719228178,9.25595828406897
1,1051,6434,36517.982438592,76.7362191302632
2,1051,2187,33106.923909759,74.8735762315385
1,1051,680,42724.9972353561,97.732752932
0,1051,64,55785.9633350202,128.1687243
14,292,1071785,240434.264320394,149.584454864747
2,292,27025,5698.45350931426,19.3561500848919
0,292,189560,2699.19641936202,9.58445486474712
3,292,6434,37150.4247692394,77.2916459586842
0,292,2187,33167.2452347814,74.3181494080769
1,292,680,43029.5232925568,98.288179748
1,292,64,56169.175700955,128.7241511
74,1165,1071785,240820.034770966,150.218956946678
2,1165,27025,4707.65680543525,18.2540798543784
1,1165,189560,3143.49876744886,10.2189569466782
7,1165,6434,37798.679455523,78.4024996115789
4,1165,2187,33257.466966958,73.2073062357692
1,1165,680,43354.9271836474,99.39903342
0,1165,64,56567.432787059,129.8350048
3,732,1071785,244552.303878722,155.232565150034
6,732,27025,726.801370841683,15.6880440895946
22,732,189560,7264.87534286266,15.2325651500345
13,732,6434,41250.4187129411,83.5447049542105
4,732,2187,34146.0385042695,68.8704067646154
0,732,680,45278.3519782239,104.541238744
0,732,64,58773.2818894553,134.9772101
1,61,1071785,248481.077175122,150.391855001954
0,61,27025,17721.4572600882,28.1822229183784
0,61,189560,11739.691193254,10.391855001954
0,61,6434,29950.854737005,65.1482042021053
0,61,2187,33451.6575815551,73.1111093315384
0,61,680,39870.6160231708,86.144738008
0,61,64,51672.7210325507,116.5807094
20,294,1071785,244959.486354106,150.346576986943
0,294,27025,13749.0368766155,26.3282285745946
4,294,189560,8027.0737863911,10.3465769869425
4,294,6434,31742.7932115118,71.6803334097368
1,294,2187,32545.1243886316,77.5652175573077
0,294,680,40228.1029972679,92.67686722
0,294,64,52591.3453202238,123.1128386
13,603,1071785,241279.892043188,150.664543993713
0,603,27025,6859.52574221297,22.1714333726757
0,603,189560,3577.34484126172,10.6645439937126
1,603,6434,35747.4783511733,78.0944377681579
1,603,2187,32113.9085827883,77.1023764873077
0,603,680,41775.9870064113,99.090971554
1,603,64,54866.1516651566,129.5269429
0,17,1071785,241711.293523952,152.640081324414
0,17,27025,4943.44476351182,21.018553417
0,17,189560,3999.34714841568,12.6400813244138
0,17,6434,37054.829252974,81.1669731781579
0,17,2187,32269.0875055238,75.9717797961539
0,17,680,42420.0196369183,102.163506958
0,17,64,55660.5458710437,132.5994783
0,80,1071785,242188.007993543,153.712400777966
0,80,27025,4015.19016903094,22.1726261385405
0,80,189560,4537.09480713548,13.7124007779655
0,80,6434,37731.1822603671,82.3210458986842
0,80,2187,32392.6270199312,77.1258525192308
0,80,680,42773.39833555,103.317579712
0,80,64,56080.2159095846,133.7535511
0,195,1071785,248591.63811696,158.113427832816
0,195,27025,4625.80668267065,12.8824395188919
1,195,189560,11362.6883497762,18.1134278328161
0,195,6434,43590.363690998,86.2836462868421
0,195,2187,34424.0664333995,61.8817638961539
0,195,680,46284.3498800003,105.467772538
0,195,64,59933.1742589875,137.8431781
1,61,1071785,252346.318466944,163.445656247816
0,61,27025,8479.68061728074,13.6178193494865
3,61,189560,15206.6131913858,23.4456562478161
2,61,6434,46757.256423691,90.7900626721053
1,61,2187,36066.1666234294,59.8475940157692
0,61,680,48440.3584754375,103.433602648
0,61,64,62156.0653005851,143.1754065
0,9,1071785,253302.373072707,162.984027141609
0,9,27025,9461.39596255224,13.8344566376757
0,9,189560,16178.9951436013,22.9840271416092
0,9,6434,47568.4672618027,90.4830614978947
0,9,2187,36533.4693929999,60.3092379869231
0,9,680,49015.4417872629,103.895246632
0,9,64,62739.2472454153,142.7137774
0,10,1071785,250709.097081819,184.796831598276
0,10,27025,19818.6884478809,64.2710296348649
0,10,189560,13948.9171615148,44.7968315982759
0,10,6434,28284.9737097103,96.4676325463158
0,10,2187,33137.7575504276,105.347725823077
0,10,680,38847.1764586266,117.46416634
0,10,64,50342.294234234,147.9001377
1,63,1071785,249800.987238863,152.185971880115
0,63,27025,18829.3751349862,30.8605128286487
0,63,189560,13009.39847604,12.1859718801149
0,63,6434,28647.7706539671,63.1191344181579
0,63,2187,32805.0339256416,71.9873010273077
0,63,680,38849.4244271672,84.115668224
0,63,64,50510.4645691589,114.5516396
3,29,1071785,242273.894945796,153.272184615034
0,29,27025,7162.77050903153,24.9359064133784
0,29,189560,4570.22051065522,13.2721846150345
0,29,6434,34988.2519807176,80.8589108068421
1,29,2187,31120.9609775709,79.8668495276923
0,29,680,40829.1217897815,101.855444618
0,29,64,53948.9750071581,132.291416
0,67,1071785,243043.546497563,156.243196180586
0,67,27025,4513.71475344873,24.9370991801081
0,67,189560,5354.88685435115,16.2431961805862
0,67,6434,37012.6903156944,85.0855189373684
0,67,2187,31408.4966521182,79.8903255553846
0,67,680,41849.1180941159,106.082052736
0,67,64,55183.2352379834,136.5180241
0,175,1071785,243572.353517427,157.405906723552
1,175,27025,3748.62767674761,26.0736792075676
1,175,189560,5937.99873247547,17.4059067235517
2,175,6434,37716.2651241085,86.2396102634211
0,175,2187,31567.0286565012,81.0444168807692
