areaId,lon,lat,X,Y,ad2,malabo,pop,prall_map,pre_map,prt_map,te_map,to_map,clusId,n,pf,pffv,pftto,to,ti_ban,ti_mal,ti_lub,ti_ria,ti_mok,ti_ure
735,8.65732953835904,3.68269436288071,461947.3424,407061.3109,Peri,non-Malabo,165,0.326000005,0.147,0.30399999,0.041000001,0.041999999,13,44,14,0,0,1,0,0,0,0,0,0
736,8.66632275908334,3.68269436263274,462946.0275,407060.9323,Peri,non-Malabo,25,0.266000003,0.150000006,0.221000001,0.039000001,0.054000001,13,1,0,0,0,0,0,0,1,0,0,0
764,8.91813293237995,3.68269436279061,490908.9275,407054.4191,Baney,non-Malabo,86,0.057,0.185000002,0.094999999,0.054000001,0.059999999,,20,0,0,0,1,0,4,0,0,0,0
792,8.63934309777777,3.67370114245431,459949.5682,406068.0166,Peri,non-Malabo,247,0.136999995,0.178000003,0.158000007,0.028999999,0.041000001,14,187,31,8,7,3,17,9,1,0,0,0
793,8.64833631807578,3.67370114256888,460948.2651,406067.6188,Peri,non-Malabo,141,0.172999993,0.130999997,0.241999999,0.035999998,0.052999999,15,83,24,5,1,2,0,1,0,0,0,0
794,8.65732953846993,3.67370114245884,461946.961,406067.231,Peri,non-Malabo,26,0.195999995,0.141000003,0.294999987,0.050999999,0.057,15,7,1,0,0,0,0,1,0,0,0,0
851,8.63934309780779,3.66470792196758,459949.1677,405073.9349,Peri,non-Malabo,17,0.162,0.171000004,0.180999994,0.048999999,0.055,,12,1,0,0,1,0,0,3,0,0,0
882,8.91813293227219,3.66470792161913,490908.7455,405066.293,Baney,non-Malabo,198,0.050000001,0.181999996,0.092,0.018999999,0.024,,61,3,2,1,0,0,5,0,0,0,0
910,8.6393430975654,3.65571470139846,459948.7682,404079.8535,Peri,non-Malabo,52,0.223000005,0.201000005,0.248999998,0.059,0.056000002,16,15,1,0,0,0,0,2,0,0,0,0
941,8.91813293231952,3.65571470139517,490908.6548,404072.2302,Baney,non-Malabo,254,0.041999999,0.192000002,0.097000003,0.024,0.027000001,,93,2,1,0,1,0,19,0,0,0,0
969,8.63934309741062,3.64672148102289,459948.3697,403085.7723,Peri,non-Malabo,51,0.246000007,0.167999998,0.206,0.039999999,0.052000001,16,36,18,2,2,1,0,7,0,0,0,0
970,8.64833631793117,3.6467214809065,460947.0965,403085.3774,Peri,non-Malabo,35,0.187999994,0.238999993,0.324000001,0.075999998,0.057,16,28,10,0,0,6,0,2,0,0,0,0
1000,8.9181329325244,3.64672148099611,490908.5644,403078.1677,Baney,non-Malabo,140,0.050000001,0.187000006,0.093999997,0.028999999,0.035,,56,2,0,0,2,0,14,0,2,0,0
1027,8.63034987716795,3.63772826052338,458949.2345,402092.0951,Peri,non-Malabo,70,0.279000014,0.149000004,0.135000005,0.041000001,0.048,17,45,19,1,0,2,1,0,0,1,0,0
1028,8.63934309761375,3.6377282602121,459947.9722,402091.6912,Peri,non-Malabo,426,0.108999997,0.134000003,0.133000001,0.030999999,0.039999999,17,278,12,4,2,8,8,6,6,2,0,0
1058,8.90913971188303,3.63772826038865,489909.7555,402084.2008,Baney,non-Malabo,168,0.046999998,0.158000007,0.059999999,0.035999998,0.041000001,,60,2,1,0,2,0,8,1,0,0,0
1116,8.90014649106884,3.62873503950701,488910.9269,401090.2436,Baney,non-Malabo,233,0.067000002,0.140000001,0.052999999,0.046,0.048999999,,56,2,0,0,2,0,18,0,3,0,0
1175,8.9001464911714,3.61974181919006,488910.8174,400096.1811,Baney,non-Malabo,403,0.071999997,0.157000005,0.064999998,0.045000002,0.048,,186,16,0,0,9,15,21,0,1,0,0
1291,8.88216005029177,3.60175537871542,486913.0819,398108.2952,Baney,NA,3,0.055,0.256999999,0.028999999,0.024,0.054000001,,0,,,,0,0,0,0,0,0,0
1292,8.89115327082666,3.60175537843966,487911.8407,398108.1711,Baney,non-Malabo,330,0.050000001,0.162,0.037,0.016000001,0.037999999,,134,5,0,0,5,0,41,2,0,0,0
