"areaId","dest","w","N1","N2","d","d_mal","t","t_mal","Peri","Malabo","Baney","Luba","Riaba","Moka","Ureka"
152,"to",0,1,1071785,242541.665108879,7055.64999627052,150.008532525046,10.008532525046,0,0,0,0,1,0,0
152,"ti_ban",0,1,27025,13723.4554519942,7055.64999627052,24.6969906399189,10.008532525046,0,0,0,0,1,0,0
152,"ti_mal",0,1,189560,7055.64999627052,7055.64999627052,10.008532525046,10.008532525046,0,0,0,0,1,0,0
152,"ti_lub",0,1,6434,38360.3887244453,7055.64999627052,74.6476979171053,10.008532525046,0,0,0,0,1,0,0
152,"ti_ria",0,1,2187,39294.7551053531,7055.64999627052,78.4792795269231,10.008532525046,0,0,0,0,1,0,0
152,"ti_mok",0,1,680,47257.8908354543,7055.64999627052,95.644231724,10.008532525046,0,0,0,0,1,0,0
152,"ti_ure",0,1,64,59571.4711679112,7055.64999627052,126.0802031,10.008532525046,0,0,0,0,1,0,0
153,"to",5,69,1071785,241684.184996917,6198.16988430894,151.50723168692,11.5072316869195,0,0,0,0,1,0,0
153,"ti_ban",0,69,27025,12808.6891469927,6198.16988430894,26.2535799813514,11.5072316869195,0,0,0,0,1,0,0
153,"ti_mal",0,69,189560,6198.16988430894,6198.16988430894,11.5072316869195,11.5072316869195,0,0,0,0,1,0,0
153,"ti_lub",0,69,6434,38808.9863246388,6198.16988430894,76.2042872602631,11.5072316869195,0,0,0,0,1,0,0
153,"ti_ria",0,69,2187,39193.1669780445,6198.16988430894,80.035868865,11.5072316869195,0,0,0,0,1,0,0
153,"ti_mok",0,69,680,47407.2701658802,6198.16988430894,97.20082105,11.5072316869195,0,0,0,0,1,0,0
153,"ti_ure",0,69,64,59830.48487894,6198.16988430894,127.6367924,11.5072316869195,0,0,0,0,1,0,0
207,"to",3,59,1071785,245947.459278106,10461.4441654982,155.011128171333,15.0111281713333,0,0,0,0,1,0,0
207,"ti_ban",0,59,27025,17198.2749696267,10461.4441654982,30.4266898172973,15.0111281713333,0,0,0,0,1,0,0
207,"ti_mal",0,59,189560,10461.4441654982,10461.4441654982,15.0111281713333,15.0111281713333,0,0,0,0,1,0,0
207,"ti_lub",4,59,6434,35853.2305160583,10461.4441654982,79.1900856594737,15.0111281713333,0,0,0,0,1,0,0
207,"ti_ria",1,59,2187,38978.1928663553,10461.4441654982,83.7244521134615,15.0111281713333,0,0,0,0,1,0,0
207,"ti_mok",0,59,680,45876.4000421722,10461.4441654982,100.186619448,15.0111281713333,0,0,0,0,1,0,0
207,"ti_ure",0,59,64,57717.9906175714,10461.4441654982,130.6225908,15.0111281713333,0,0,0,0,1,0,0
209,"to",0,47,1071785,244015.426287168,8529.41117455979,150.110073950563,10.1100739505632,0,0,0,0,1,0,0
209,"ti_ban",0,47,27025,15273.4227659358,8529.41117455979,25.3812057720541,10.1100739505632,0,0,0,0,1,0,0
209,"ti_mal",0,47,189560,8529.41117455979,8529.41117455979,10.1100739505632,10.1100739505632,0,0,0,0,1,0,0
209,"ti_lub",0,47,6434,36615.922229858,8529.41117455979,74.4181664713158,10.1100739505632,0,0,0,0,1,0,0
209,"ti_ria",0,47,2187,38592.5706241321,8529.41117455979,78.79074562,10.1100739505632,0,0,0,0,1,0,0
209,"ti_mok",0,47,680,46032.1569204204,8529.41117455979,95.414700254,10.1100739505632,0,0,0,0,1,0,0
209,"ti_ure",0,47,64,58131.3356778514,8529.41117455979,125.8506716,10.1100739505632,0,0,0,0,1,0,0
211,"to",17,245,1071785,242122.098517453,6636.0834048446,148.687658977494,8.68765897749425,0,0,0,0,1,0,0
211,"ti_ban",0,245,27025,13369.821722077,6636.0834048446,23.3147522806757,8.68765897749425,0,0,0,0,1,0,0
211,"ti_mal",0,245,189560,6636.0834048446,6636.0834048446,8.68765897749425,8.68765897749425,0,0,0,0,1,0,0
211,"ti_lub",2,245,6434,37469.6877309144,6636.0834048446,73.2654595602632,8.68765897749425,0,0,0,0,1,0,0
211,"ti_ria",0,245,2187,38307.3638996113,6636.0834048446,77.0970411642308,8.68765897749425,0,0,0,0,1,0,0
211,"ti_mok",0,245,680,46273.7080859415,6636.0834048446,94.26199335,8.68765897749425,0,0,0,0,1,0,0
211,"ti_ure",0,245,64,58609.8965433481,6636.0834048446,124.6979647,8.68765897749425,0,0,0,0,1,0,0
212,"to",1,39,1071785,241202.010476182,5715.99536357374,149.841467756506,9.84146775650575,0,0,0,0,1,0,0
212,"ti_ban",0,39,27025,12429.0457234136,5715.99536357374,24.0627247508108,9.84146775650575,0,0,0,0,1,0,0
212,"ti_mal",0,39,189560,5715.99536357374,5715.99536357374,9.84146775650575,9.84146775650575,0,0,0,0,1,0,0
212,"ti_lub",0,39,6434,37928.8267694815,5715.99536357374,74.9727357955263,9.84146775650575,0,0,0,0,1,0,0
212,"ti_ria",0,39,2187,38203.1498706049,5715.99536357374,78.1583526015385,9.84146775650575,0,0,0,0,1,0,0
212,"ti_mok",0,39,680,46426.2564667952,5715.99536357374,95.96926961,9.84146775650575,0,0,0,0,1,0,0
212,"ti_ure",0,39,64,58873.1442688621,5715.99536357374,126.405241,9.84146775650575,0,0,0,0,1,0,0
218,"to",24,691,1071785,238008.928904904,2522.91379229575,150.276493585552,10.2764935855517,0,0,0,0,1,0,0
218,"ti_ban",0,691,27025,7123.12895920105,2522.91379229575,19.9652174254595,10.2764935855517,0,0,0,0,1,0,0
218,"ti_mal",0,691,189560,2522.91379229575,2522.91379229575,10.2764935855517,10.2764935855517,0,0,0,0,1,0,0
