areaID,row,col,x,y,pop,pfpr,h,z,lambda
118,1,118,34.479105525,4.187476292,,,,,
119,1,119,34.520772175,4.187476292,,,,,
120,1,120,34.562438825,4.187476292,,,,,
121,1,121,34.604105475,4.187476292,,,,,
122,1,122,34.645772125,4.187476292,,,,,
123,1,123,34.687438775,4.187476292,,,,,
124,1,124,34.729105425,4.187476292,,,,,
125,1,125,34.770772075,4.187476292,,,,,
126,1,126,34.812438725,4.187476292,,,,,
127,1,127,34.854105375,4.187476292,,,,,
128,1,128,34.895772025,4.187476292,,,,,
129,1,129,34.937438675,4.187476292,,,,,
130,1,130,34.979105325,4.187476292,,,,,
131,1,131,35.020771975,4.187476292,,,,,
132,2,1,29.604107475,4.145809642,,,,,
133,2,2,29.645774125,4.145809642,,,,,
134,2,3,29.687440775,4.145809642,,,,,
135,2,4,29.729107425,4.145809642,,,,,
136,2,5,29.770774075,4.145809642,,,,,
137,2,6,29.812440725,4.145809642,,,,,
138,2,7,29.854107375,4.145809642,,,,,
139,2,8,29.895774025,4.145809642,,,,,
140,2,9,29.937440675,4.145809642,,,,,
141,2,10,29.979107325,4.145809642,,,,,
142,2,11,30.020773975,4.145809642,,,,,
143,2,12,30.062440625,4.145809642,,,,,
144,2,13,30.104107275,4.145809642,,,,,
145,2,14,30.145773925,4.145809642,,,,,
146,2,15,30.187440575,4.145809642,,,,,
147,2,16,30.229107225,4.145809642,,,,,
148,2,17,30.270773875,4.145809642,,,,,
149,2,18,30.312440525,4.145809642,,,,,
150,2,19,30.354107175,4.145809642,,,,,
151,2,20,30.395773825,4.145809642,,,,,
152,2,21,30.437440475,4.145809642,,,,,
153,2,22,30.479107125,4.145809642,,,,,
154,2,23,30.520773775,4.145809642,,,,,
155,2,24,30.562440425,4.145809642,,,,,
156,2,25,30.604107075,4.145809642,,,,,
157,2,26,30.645773725,4.145809642,,,,,
158,2,27,30.687440375,4.145809642,,,,,
159,2,28,30.729107025,4.145809642,,,,,
160,2,29,30.770773675,4.145809642,,,,,
161,2,30,30.812440325,4.145809642,,,,,
162,2,31,30.854106975,4.145809642,,,,,
163,2,32,30.895773625,4.145809642,,,,,
164,2,33,30.937440275,4.145809642,,,,,
165,2,34,30.979106925,4.145809642,,,,,
166,2,35,31.020773575,4.145809642,,,,,
167,2,36,31.062440225,4.145809642,,,,,
168,2,37,31.104106875,4.145809642,,,,,
169,2,38,31.145773525,4.145809642,,,,,
170,2,39,31.187440175,4.145809642,,,,,
171,2,40,31.229106825,4.145809642,,,,,
172,2,41,31.270773475,4.145809642,,,,,
173,2,42,31.312440125,4.145809642,,,,,
174,2,43,31.354106775,4.145809642,,,,,
175,2,44,31.395773425,4.145809642,,,,,
176,2,45,31.437440075,4.145809642,,,,,
177,2,46,31.479106725,4.145809642,,,,,
178,2,47,31.520773375,4.145809642,,,,,
179,2,48,31.562440025,4.145809642,,,,,
180,2,49,31.604106675,4.145809642,,,,,
181,2,50,31.645773325,4.145809642,,,,,
182,2,51,31.687439975,4.145809642,,,,,
183,2,52,31.729106625,4.145809642,,,,,
184,2,53,31.770773275,4.145809642,,,,,
185,2,54,31.812439925,4.145809642,,,,,
186,2,55,31.854106575,4.145809642,,,,,
187,2,56,31.895773225,4.145809642,,,,,
188,2,57,31.937439875,4.145809642,,,,,
189,2,58,31.979106525,4.145809642,,,,,
190,2,59,32.020773175,4.145809642,,,,,
191,2,60,32.062439825,4.145809642,,,,,
192,2,61,32.104106475,4.145809642,,,,,
193,2,62,32.145773125,4.145809642,,,,,
194,2,63,32.187439775,4.145809642,,,,,
195,2,64,32.229106425,4.145809642,,,,,
196,2,65,32.270773075,4.145809642,,,,,
197,2,66,32.312439725,4.145809642,,,,,
198,2,67,32.354106375,4.145809642,,,,,
199,2,68,32.395773025,4.145809642,,,,,
200,2,69,32.437439675,4.145809642,,,,,
201,2,70,32.479106325,4.145809642,,,,,
202,2,71,32.520772975,4.145809642,,,,,
203,2,72,32.562439625,4.145809642,,,,,
204,2,73,32.604106275,4.145809642,,,,,
205,2,74,32.645772925,4.145809642,,,,,
206,2,75,32.687439575,4.145809642,,,,,
207,2,76,32.729106225,4.145809642,,,,,
208,2,77,32.770772875,4.145809642,,,,,
209,2,78,32.812439525,4.145809642,,,,,
210,2,79,32.854106175,4.145809642,,,,,
211,2,80,32.895772825,4.145809642,,,,,
212,2,81,32.937439475,4.145809642,,,,,
213,2,82,32.979106125,4.145809642,,,,,
214,2,83,33.020772775,4.145809642,,,,,
215,2,84,33.062439425,4.145809642,,,,,
216,2,85,33.104106075,4.145809642,,,,,
217,2,86,33.145772725,4.145809642,,,,,
218,2,87,33.187439375,4.145809642,,,,,
219,2,88,33.229106025,4.145809642,,,,,
220,2,89,33.270772675,4.145809642,,,,,
221,2,90,33.312439325,4.145809642,,,,,
