"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,12771.3480749184,8,298775.443767882,0,12771.3480749184,298775.443767882
50,6496.47794343351,3169.57278550937,166248.672705971,58367.7728551484,9658.05072894288,224616.445561119
100,3322.87727729124,6550.74288439358,112144.327647759,117131.859563914,9865.62016168482,229276.187211673
150,1233.50618603529,11073.9466600485,13218.863499911,290792.597465581,12299.4528460838,304011.460965492
200,567.365122538897,12910.4232003124,4859.09237937261,342991.610223506,13469.7883228513,347850.702602879
