"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,11715.3519811677,24,306713.6716049,0,11715.3519811677,306713.6716049
50,4958.47761573096,2394.91618025366,134145.645276004,37518.5873170503,7329.39379598461,171664.232593054
100,2097.98417116835,5970.94213779215,80569.4394435034,98969.0485028247,8044.9263089605,179538.487946328
150,906.833049463508,8268.86630604229,7351.95025135159,253086.982817032,9151.6993555058,260438.933068384
200,350.343585958084,10668.0968164509,1108.16582410019,319896.653347083,10994.440402409,321004.819171183
