"","cutoff=0k","cutoff=5k","cutoff=10k","cutoff=15k","cutoff=20k","cutoff=30k","cutoff=50k","cutoff=100k","cutoff=150k"
"poisson_old_exp",9905.71430520829,13518.2330864431,9525.87231475866,22851.1082486358,91884.4476066851,13929.480786204,6215.74453752128,6289.6978433679,6289.6978433679
"poisson_old_pow",9905.71430520829,22293.4557967039,9443.6834870126,8120.70639249932,11040.7182758996,9653.50802962767,6869.27139606498,6889.45106223524,6889.45106223524
"poisson_2018_exp",3676.22377963867,3653.58829587223,3636.0989028236,3635.20437464486,3638.44767805309,3666.39399960904,3686.98251715061,NA,NA
"poisson_2018_pow",3676.22377963867,3653.51156590407,3642.70032081116,3665.2563741769,3654.84056201656,3659.71854838845,3675.68907602686,NA,NA
"negbin_old_exp",8548.91952374546,50455.1981408242,18751.6682925633,15674.7261357091,20345.8955081774,7960.77872642457,5662.41597690203,5821.26650580338,5821.26650580338
"negbin_old_pow",8548.91952374546,39214.442123448,23338.8232978906,17228.6557886173,12888.1975763644,7782.82521170683,6105.18695842608,6223.41198057487,6223.41198057487
"negbin_2018_exp",3677.12575951742,3654.36091336886,3636.72611537829,3636.52410572116,3640.3183661003,3667.22045743886,NA,NA,NA
"negbin_2018_pow",3677.12575951742,3654.27476945781,3643.31570309584,3666.40001623162,3656.69370442875,3660.58794810753,NA,NA,NA
