"","cutoff=0k","cutoff=5k","cutoff=10k","cutoff=15k","cutoff=20k","cutoff=30k","cutoff=50k","cutoff=100k","cutoff=150k"
"poisson_old_exp",416751.717539911,1197389.22437394,3845800.54180977,2255036.30599041,983151.506965912,827934.16055001,370372.39014934,339180.227443813,339180.227443813
"poisson_old_pow",416751.717539911,1192885.53114502,3833975.90520934,2466649.49917842,1419103.56825289,1698744.40571907,982322.375604591,976143.095559771,976143.095559771
"poisson_2018_exp",345297.60225922,232729.99463578,242990.474521723,243095.266305532,240453.234884596,192186.566960382,236730.353045519,NA,NA
"poisson_2018_pow",345297.60225922,234646.551727288,242378.389571544,242930.759103073,249517.717929403,209839.105912723,345296.275851223,NA,NA
"negbin_old_exp",1317161.14256946,2074876.96760783,9074928.08670503,4796274.18313752,599499.247904576,491033.173056765,344318.005854396,504607.331864282,504607.331864282
"negbin_old_pow",1317161.14256946,2047977.83286071,9095302.88320995,4955948.27721821,824858.749504395,873774.6821784,531765.503867469,510406.397401883,510406.397401883
"negbin_2018_exp",353524.558115222,251438.652129981,270615.047149791,272840.69426564,289749.330260385,257702.045682111,NA,NA,NA
"negbin_2018_pow",353524.558115222,252815.807869299,266372.803426315,265777.600782159,287913.795207895,266753.880537926,NA,NA,NA
