"areaId","dest","w","N1","N2","d","t"
152,"to",0,1,1071785,242945.868025982,150.008532525046
152,"ti_ban",0,1,27025,13723.4554519942,24.6969906399189
152,"ti_mal",0,1,189560,7055.64999627052,10.008532525046
152,"ti_lub",0,1,6434,38360.3887244453,74.6476979171053
152,"ti_ria",0,1,2187,39294.7551053531,78.4792795269231
152,"ti_mok",0,1,680,47257.8908354543,95.644231724
152,"ti_ure",0,1,64,59571.4711679112,126.0802031
153,"to",5,69,1071785,242025.163854664,151.50723168692
153,"ti_ban",0,69,27025,12808.6891469927,26.2535799813514
153,"ti_mal",0,69,189560,6198.16988430894,11.5072316869195
153,"ti_lub",0,69,6434,38808.9863246388,76.2042872602631
153,"ti_ria",0,69,2187,39193.1669780445,80.035868865
153,"ti_mok",0,69,680,47407.2701658802,97.20082105
153,"ti_ure",0,69,64,59830.48487894,127.6367924
207,"to",3,59,1071785,246601.750380136,155.011128171333
207,"ti_ban",0,59,27025,17198.2749696267,30.4266898172973
207,"ti_mal",0,59,189560,10461.4441654982,15.0111281713333
207,"ti_lub",4,59,6434,35853.2305160583,79.1900856594737
207,"ti_ria",1,59,2187,38978.1928663553,83.7244521134615
207,"ti_mok",0,59,680,45876.4000421722,100.186619448
207,"ti_ure",0,59,64,57717.9906175714,130.6225908
209,"to",0,47,1071785,244624.984086546,150.110073950563
209,"ti_ban",0,47,27025,15273.4227659358,25.3812057720541
209,"ti_mal",0,47,189560,8529.41117455979,10.1100739505632
209,"ti_lub",0,47,6434,36615.922229858,74.4181664713158
209,"ti_ria",0,47,2187,38592.5706241321,78.79074562
209,"ti_mok",0,47,680,46032.1569204204,95.414700254
209,"ti_ure",0,47,64,58131.3356778514,125.8506716
211,"to",17,245,1071785,242661.615194785,148.687658977494
211,"ti_ban",0,245,27025,13369.821722077,23.3147522806757
211,"ti_mal",0,245,189560,6636.0834048446,8.68765897749425
211,"ti_lub",2,245,6434,37469.6877309144,73.2654595602632
211,"ti_ria",0,245,2187,38307.3638996113,77.0970411642308
211,"ti_mok",0,245,680,46273.7080859415,94.26199335
211,"ti_ure",0,245,64,58609.8965433481,124.6979647
212,"to",1,39,1071785,241689.799040764,149.841467756506
212,"ti_ban",0,39,27025,12429.0457234136,24.0627247508108
212,"ti_mal",0,39,189560,5715.99536357374,9.84146775650575
212,"ti_lub",0,39,6434,37928.8267694815,74.9727357955263
212,"ti_ria",0,39,2187,38203.1498706049,78.1583526015385
212,"ti_mok",0,39,680,46426.2564667952,95.96926961
212,"ti_ure",0,39,64,58873.1442688621,126.405241
218,"to",24,691,1071785,238254.121426408,150.276493585552
218,"ti_ban",0,691,27025,7123.12895920105,19.9652174254595
218,"ti_mal",0,691,189560,2522.91379229575,10.2764935855517
218,"ti_lub",2,691,6434,41087.729942394,77.9814325571053
218,"ti_ria",0,691,2187,38125.2896169467,74.8963677730769
218,"ti_mok",0,691,680,47771.8070783908,98.977966348
218,"ti_ure",0,691,64,60774.2980602232,129.4139377
219,"to",76,3185,1071785,239016.296556139,151.216288618126
219,"ti_ban",14,3185,27025,6358.39141699118,18.1328270248378
219,"ti_mal",2,3185,189560,2993.47378043828,11.2162886181264
219,"ti_lub",9,3185,6434,41674.7526574683,79.8102856731579
219,"ti_ria",4,3185,2187,38203.7976566721,73.0527375488462
219,"ti_mok",2,3185,680,48065.0986824652,100.806819454
219,"ti_ure",1,3185,64,61142.5454545425,131.2427908
220,"to",71,3384,1071785,239906.608349693,151.908066565069
220,"ti_ban",34,3384,27025,5666.89927994363,18.8173274088649
220,"ti_mal",1,3384,189560,3681.17641415458,11.908066565069
220,"ti_lub",25,3384,6434,42277.2215508896,80.5334459026316
220,"ti_ria",0,3384,2187,38308.1938754266,73.7758977807692
220,"ti_mok",4,3384,680,48377.2377597351,101.529979714
220,"ti_ure",0,3384,64,61524.8071937786,131.9659511
270,"to",1,43,1071785,242532.183065332,147.863673875149
270,"ti_ban",0,43,27025,13082.3313759397,22.4987040074865
270,"ti_mal",0,43,189560,6345.81557627907,7.86367387514942
270,"ti_lub",0,43,6434,36584.3133757846,72.2978928863158
270,"ti_ria",0,43,2187,37320.3277320009,76.2168889561539
270,"ti_mok",0,43,680,45289.9577762837,93.294426684
270,"ti_ure",0,43,64,57649.4248557251,123.730398
271,"to",4,47,1071785,241534.964175066,147.833183858299
271,"ti_ban",0,47,27025,12119.2490335012,21.9432929234324
271,"ti_mal",0,47,189560,5376.26843486041,7.83318385829885
271,"ti_lub",0,47,6434,37054.4301422161,72.8533039694737
271,"ti_ria",0,47,2187,37213.3493782803,76.0389207711538
271,"ti_mok",0,47,680,45445.8108306156,93.849837754
271,"ti_ure",0,47,64,57917.0418404658,124.2858091
272,"to",7,247,1071785,240538.444805146,147.789983002678
272,"ti_ban",0,247,27025,11162.413835845,21.3878818403784
272,"ti_mal",0,247,189560,4419.6811770953,7.78998300267816
272,"ti_lub",0,247,6434,37545.2345433895,73.4087150523684
272,"ti_ria",0,247,2187,37132.9374814659,75.726903215
272,"ti_mok",0,247,680,45623.0037910723,94.405248844
272,"ti_ure",0,247,64,58200.5738912523,124.8412202
273,"to",20,302,1071785,239543.333054467,147.803671012356
273,"ti_ban",0,302,27025,10213.581223524,20.8324707563243
273,"ti_mal",0,302,189560,3486.73589898499,7.80367101235632
273,"ti_lub",0,302,6434,38055.9261228531,73.9641261357895
273,"ti_ria",0,302,2187,37079.2647090775,75.3666399353846
273,"ti_mok",0,302,680,45821.2889827978,94.960659934
273,"ti_ure",0,302,64,58499.7895262352,125.3966313
274,"to",10,545,1071785,238551.775710473,147.993898742103
274,"ti_ban",0,545,27025,9275.20748837693,20.2770596725135
274,"ti_mal",0,545,189560,2602.97837003689,7.99389874210345
274,"ti_lub",1,545,6434,38585.7151827011,74.5195372165789
274,"ti_ria",0,545,2187,37052.4473150058,74.9821245680769
274,"ti_mok",0,545,680,46040.3939007809,95.516071024
274,"ti_ure",0,545,64,58814.4493768203,125.9520424
275,"to",29,841,1071785,237574.611211832,148.118955723264
275,"ti_ban",0,841,27025,8350.81862642139,19.7216485897838
275,"ti_mal",0,841,189560,1840.67477705946,8.11895572326437
275,"ti_lub",0,841,6434,39133.8260795565,75.0749483021053
275,"ti_ria",0,841,2187,37052.5434482358,74.5676768269231
275,"ti_mok",0,841,680,46280.0227448695,96.071482114
275,"ti_ure",0,841,64,59144.3068771709,126.5074535
276,"to",121,3237,1071785,236884.94440563,148.259262744632
276,"ti_ban",13,3237,27025,7445.62510019246,19.1662375053243
276,"ti_mal",2,3237,189560,1412.4750110908,8.25926274463218
276,"ti_lub",8,3237,6434,39699.4999184788,75.6303593892105
276,"ti_ria",2,3237,2187,37079.5529465767,74.0883303584615
276,"ti_mok",3,3237,680,46539.8585199484,96.626893186
276,"ti_ure",0,3237,64,59489.1092502027,127.0628645
277,"to",406,11034,1071785,237690.269540331,148.729658519793
277,"ti_ban",26,11034,27025,6567.56817105911,18.3331208804054
277,"ti_mal",1,11034,189560,1611.36543683061,8.72965851979311
277,"ti_lub",30,11034,6434,40281.9968713204,76.46347601
277,"ti_ria",7,11034,2187,37133.417039491,73.26427123
277,"ti_mok",1,11034,680,46819.5648114813,97.46000982
277,"ti_ure",0,11034,64,59848.5982316252,127.8959812
278,"to",369,13054,1071785,238670.852466699,149.538224234172
278,"ti_ban",45,13054,27025,5729.13829171209,16.4004219111351
278,"ti_mal",2,13054,189560,2278.66591810284,9.53822423417242
278,"ti_lub",35,13054,6434,40880.5975821887,78.0778805560526
278,"ti_ria",18,13054,2187,37214.0189591393,71.3203324369231
278,"ti_mok",3,13054,680,47118.7875660934,99.074414348
278,"ti_ure",0,13054,64,60222.5106199031,129.5103857
279,"to",207,10886,1071785,239663.072192523,150.994604125908
279,"ti_ban",40,10886,27025,4950.5100521421,17.3195266468378
279,"ti_mal",5,10886,189560,3127.7055860039,10.994604125908
279,"ti_lub",36,10886,6434,41494.6052710851,79.4881935213158
279,"ti_ria",13,10886,2187,37321.1855372907,72.2690424761538
279,"ti_mok",5,10886,680,47437.157584834,100.484727328
279,"ti_ure",0,10886,64,60610.5796138234,130.9206987
280,"to",3,308,1071785,240658.414807768,151.643613050161
280,"ti_ban",0,308,27025,4264.56590636847,16.6519948763514
280,"ti_mal",0,308,189560,4045.63538167516,11.6436130501609
280,"ti_lub",1,308,6434,42123.3460444165,79.969890495
280,"ti_ria",0,308,2187,37454.6886820507,71.63990676
280,"ti_mok",0,308,680,47774.2919736444,100.966424308
280,"ti_ure",0,308,64,61012.5349789894,131.4023957
281,"to",22,551,1071785,241655.0381456,152.228061701299
281,"ti_ban",0,551,27025,3722.89365132426,16.1404938478108
281,"ti_mal",1,551,189560,4994.61589528179,12.2280617012988
281,"ti_lub",1,551,6434,42766.1702325719,80.5253068363158
281,"ti_ria",0,551,2187,37614.2478824038,71.0844904188461
281,"ti_mok",0,551,680,48129.7964275556,101.521840636
281,"ti_ure",0,551,64,61428.1041635788,131.957812
282,"to",63,1568,1071785,242652.309747884,151.353071033701
282,"ti_ban",1,1568,27025,3395.26042304868,14.7787346868649
282,"ti_mal",32,1568,189560,5959.83255849726,11.3530710337011
282,"ti_lub",8,1568,6434,43422.4522239544,79.6503161723684
282,"ti_ria",3,1568,2187,37799.5331912285,69.4232838230769
282,"ti_mok",0,1568,680,48503.2669771468,100.646849954
282,"ti_ure",0,1568,64,61857.0127306541,131.0828213
283,"to",6,53,1071785,243649.954591507,151.908482117218
283,"ti_ban",1,53,27025,3345.15870573649,14.9606840964595
283,"ti_mal",1,53,189560,6934.50875440584,11.9084821172184
283,"ti_lub",0,53,6434,44091.5910370894,80.2057272534211
283,"ti_ria",0,53,2187,38010.168272457,69.6540834092308
283,"ti_mok",0,53,680,48894.2918429712,101.202261044
283,"ti_ure",0,53,64,62298.9850953181,131.6382324
329,"to",15,316,1071785,242567.643364867,147.824586394172
329,"ti_ban",0,316,27025,12865.4191485441,22.6297529852703
329,"ti_mal",0,316,189560,6203.02438766608,7.82458639417241
329,"ti_lub",0,316,6434,35704.661948285,72.332775238421
329,"ti_ria",0,316,2187,36333.6755085352,76.3250495353846
329,"ti_mok",0,316,680,44306.6687125586,93.329309036
329,"ti_ure",0,316,64,56690.1121804984,123.7652804
330,"to",1,108,1071785,241577.513959719,148.518252372402
330,"ti_ban",0,108,27025,11884.7620661594,22.9169659345405
330,"ti_mal",0,108,189560,5206.94572936284,8.5182523724023
330,"ti_lub",0,108,6434,36186.2141949329,73.7308313707895
330,"ti_ria",0,108,2187,36223.783114367,77.0141363123077
330,"ti_mok",1,108,680,44465.9707490975,94.727365154
330,"ti_ure",0,108,64,56962.2398863474,125.1633365
331,"to",13,484,1071785,240591.603856277,148.470546071655
331,"ti_ban",0,484,27025,10907.3658965334,22.3615443437027
331,"ti_mal",0,484,189560,4212.06703096801,8.47054607165517
331,"ti_lub",0,484,6434,36688.6406687542,74.28625296
331,"ti_ria",0,484,2187,36141.1693258896,76.7069966942308
331,"ti_mok",0,484,680,44647.0550635529,95.282786748
331,"ti_ure",0,484,64,57250.5042900574,125.7187581
332,"to",6,123,1071785,239614.046957036,147.669422738299
332,"ti_ban",0,123,27025,9934.19279174808,20.9634882127568
332,"ti_mal",0,123,189560,3219.4999862352,7.66942273829885
332,"ti_lub",0,123,6434,37211.0960552921,73.9990400089474
332,"ti_ria",0,123,2187,36086.0216199296,75.5089751969231
332,"ti_mok",0,123,680,44849.6579977925,94.99557382
332,"ti_ure",0,123,64,57554.6631393225,125.4315452
333,"to",66,1881,1071785,238656.752387743,148.553540584713
333,"ti_ban",0,1881,27025,8966.61787337463,21.2507011619459
333,"ti_mal",0,1881,189560,2232.32962565056,8.55354058471264
333,"ti_lub",1,1881,6434,37752.748672893,75.3970961431579
333,"ti_ria",2,1881,2187,36058.4659689255,75.9670870919231
333,"ti_mok",0,1881,680,45073.4892905329,96.393629938
333,"ti_ure",0,1881,64,57874.4657383773,126.8296013
334,"to",369,11234,1071785,237770.270997679,148.701883473057
334,"ti_ban",4,11234,27025,8006.67043470793,20.6952795713513
334,"ti_mal",1,11234,189560,1263.26936618486,8.70188347305747
334,"ti_lub",11,11234,6434,38312.7842882296,75.9525177302632
334,"ti_ria",4,11234,2187,36058.5654659244,75.5575132576923
334,"ti_mok",1,11234,680,45318.2342972955,96.949051532
334,"ti_ure",0,11234,64,58209.6541819772,127.3850229
335,"to",382,19485,1071785,237305.767119752,148.077388316115
335,"ti_ban",88,19485,27025,7057.46344181781,19.4872315817838
335,"ti_mal",0,19485,189560,450.375833369167,8.07738831611494
335,"ti_lub",95,19485,6434,38890.408639287,75.4693802207895
335,"ti_ria",19,19485,2187,36086.3198279446,74.3967198046154
335,"ti_mok",11,19485,680,45583.5560854166,96.465914028
335,"ti_ure",0,19485,64,58559.9642052362,126.9018854
336,"to",391,17457,1071785,237868.294781573,148.649403246345
336,"ti_ban",29,17457,27025,6123.99268675704,18.3763988966216
336,"ti_mal",2,17457,189560,896.804576067461,8.64940324634483
336,"ti_lub",34,17457,6434,39484.8499632596,76.5802129092105
336,"ti_ria",15,17457,2187,36141.6653992298,73.3137193561538
336,"ti_mok",1,17457,680,45869.0976967414,97.576746718
336,"ti_ure",0,17457,64,58925.1262469815,128.0127181
337,"to",267,15012,1071785,238770.093455766,149.226870768483
337,"ti_ban",21,15012,27025,5214.71556472788,16.1547335776757
337,"ti_mal",2,15012,189560,1843.93759352773,9.22687076848276
337,"ti_lub",21,15012,6434,40095.360057581,77.5249854021053
337,"ti_ria",8,15012,2187,36224.4755538329,71.0920540403846
337,"ti_mok",1,15012,680,46174.4838258111,98.521519214
337,"ti_ure",0,15012,64,59304.8657645923,128.9574906
338,"to",88,6008,1071785,239731.089170681,149.488392777828
338,"ti_ban",10,6008,27025,4344.84758522676,15.6167271715946
338,"ti_mal",21,6008,189560,2826.72558005902,9.48839277782759
338,"ti_lub",14,6008,6434,40721.216273981,77.7557887442105
338,"ti_ria",4,6008,2187,36334.5624754134,70.5366376961538
338,"ti_mok",1,6008,680,46499.3235070906,98.752322538
338,"ti_ure",0,6008,64,59698.9046256859,129.1882939
339,"to",73,3051,1071785,240710.025772108,150.013959950713
339,"ti_ban",2,3051,27025,3543.53083393834,15.1125825137568
339,"ti_mal",14,3051,189560,3817.73096583847,10.0139599507126
339,"ti_lub",4,3051,6434,41361.7219733013,78.3112050892105
339,"ti_ria",2,3051,2187,36471.679208914,69.9812213538462
339,"ti_mok",1,3051,680,46843.2120595932,99.307738886
339,"ti_ure",0,3051,64,60106.9616317391,129.7437102
340,"to",8,313,1071785,241696.587690172,150.569376293839
340,"ti_ban",0,313,27025,2868.795073847,14.7154003589189
340,"ti_mal",5,313,189560,4811.87903701462,10.5693762938391
340,"ti_lub",0,313,6434,42016.2072228948,78.8666214244737
340,"ti_ria",0,313,2187,36635.5222285299,69.4258050130769
340,"ti_mok",0,313,680,47205.7331774039,99.86315523
340,"ti_ure",0,313,64,60528.7532848903,130.2991266
386,"to",27,572,1071785,244703.546943389,148.039885995356
386,"ti_ban",0,572,27025,14710.3343031184,23.3411117818649
386,"ti_mal",0,572,189560,8208.29672043335,8.03988599535632
386,"ti_lub",2,572,6434,33911.0043355258,70.9720618894737
386,"ti_ria",0,572,2187,35656.334302464,76.0431586669231
386,"ti_mok",0,572,680,43065.7661927649,91.968595686
386,"ti_ure",0,572,64,55228.5057670837,122.404567
387,"to",18,204,1071785,243730.29594934,147.395744243402
387,"ti_ban",0,204,27025,13716.1653548356,22.3691240245405
387,"ti_mal",0,204,189560,7212.61618636953,7.3957442434023
387,"ti_lub",0,204,6434,34359.6516469613,70.9613030971052
387,"ti_ria",0,204,2187,35488.1700884403,75.5944484603846
387,"ti_mok",1,204,680,43183.4619409465,91.957836912
