distance_negbin,,,,,,,,,time_negbin,,,,,,,
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum,,,Cutoffs,AIC Far,AIC Near,Residual Far,Residual Near,AIC Sum,Residual Sum
,0,11608.6684,24,297971.0609,0,11608.6684,297971.0609,,,0,11715.352,24,306713.672,0,11715.352,306713.672
,10,6249.396163,1222.177489,153911.9142,19234.84225,7447.573653,173146.7565,,,50,4958.47762,2394.91618,134145.645,37518.5873,7329.3938,171664.233
,20,4648.224474,1969.632711,122768.2606,31007.7122,6593.857186,153775.9728,,,100,2097.98417,5970.94214,80569.4394,98969.0485,8044.92631,179538.488
,30,4095.185642,2658.095111,116434.5425,36596.30485,6729.280754,153030.8473,,,150,906.833049,8268.86631,7351.95025,253086.983,9151.69936,260438.933
,40,2735.712553,5027.71474,96114.77148,75871.82435,7739.427292,171986.5958,,,200,350.343586,10668.0968,1108.16582,319896.653,10994.4404,321004.819
,50,1643.333625,6440.492176,74891.94704,101629.2024,8059.825801,176521.1494,,,,,,,,,
,60,1561.094163,6553.877302,74677.36295,102089.7462,8090.971465,176767.1092,,,,,,,,,
,100,1536.304799,6577.898091,77259.67672,102248.8916,8090.20289,179508.5683,,,,,,,,,
,150,1536.304799,6577.898091,77259.67672,102248.8916,8090.20289,179508.5683,,,,,,,,,
,200,1536.304799,6577.898091,77259.67672,102248.8916,8090.20289,179508.5683,,,,,,,,,
,,,,,,,,,,,,,,,,
Multinomial Regression,,,,,,,,,,,,,,,,
,AIC Sum,Residual Sum,,,,,,,,,,,,,,
,16234.14,38223.92,,,,,,,,,,,,,,
