"Cutoffs","AIC Far","AIC Near","Residual Far","Residual Near","AIC Sum","Residual Sum"
0,4188.38739265394,8,512397.316959773,0,4188.38739265394,512397.316959773
50,2972.06262470405,1066.17285614664,292101.962171814,75637.3798920852,4030.23548085069,367739.342063899
100,1469.9820172197,2577.96803905898,281412.936461427,184189.514071402,4039.95005627868,465602.45053283
150,688.914983506063,3389.44408632107,17416.5969983323,2637425.30371773,4070.35906982713,2654841.90071606
200,257.175357563018,3912.06047031723,5582.38964424757,899878.956615199,4161.23582788024,905461.346259447
